Saison	Kalenderwoche	Bundesland	Bundesland_ID	Altersgruppe	ARE_Konsultationsinzidenz
2012/13	2013-W28	Bundesweit	0	0-4	2735
2012/13	2013-W28	Bundesweit	0	5-14	934
2012/13	2013-W28	Bundesweit	0	15-34	624
2012/13	2013-W28	Bundesweit	0	60+	280
2012/13	2013-W28	Bundesweit	0	35-59	471
2012/13	2013-W29	Bundesweit	0	00+	533
2012/13	2013-W29	Bundesweit	0	0-4	2327
2012/13	2013-W29	Bundesweit	0	5-14	806
2012/13	2013-W29	Bundesweit	0	15-34	592
2012/13	2013-W29	Bundesweit	0	60+	253
2012/13	2013-W29	Bundesweit	0	35-59	429
2012/13	2013-W30	Bundesweit	0	00+	463
2012/13	2013-W30	Bundesweit	0	0-4	2111
2012/13	2013-W30	Bundesweit	0	5-14	748
2012/13	2013-W30	Bundesweit	0	15-34	508
2012/13	2013-W30	Bundesweit	0	60+	187
2012/13	2013-W30	Bundesweit	0	35-59	379
2012/13	2013-W31	Bundesweit	0	00+	401
2012/13	2013-W31	Bundesweit	0	0-4	1891
2012/13	2013-W31	Bundesweit	0	5-14	687
2012/13	2013-W31	Bundesweit	0	15-34	451
2012/13	2013-W31	Bundesweit	0	60+	151
2012/13	2013-W31	Bundesweit	0	35-59	313
2012/13	2013-W32	Bundesweit	0	00+	371
2012/13	2013-W32	Bundesweit	0	0-4	1641
2012/13	2013-W32	Bundesweit	0	5-14	611
2012/13	2013-W32	Bundesweit	0	15-34	405
2012/13	2013-W32	Bundesweit	0	60+	154
2012/13	2013-W32	Bundesweit	0	35-59	305
2012/13	2013-W33	Bundesweit	0	00+	381
2012/13	2013-W33	Bundesweit	0	0-4	1438
2012/13	2013-W33	Bundesweit	0	5-14	571
2012/13	2013-W33	Bundesweit	0	15-34	456
2012/13	2013-W33	Bundesweit	0	60+	164
2012/13	2013-W33	Bundesweit	0	35-59	325
2012/13	2013-W34	Bundesweit	0	00+	444
2012/13	2013-W34	Bundesweit	0	0-4	1654
2012/13	2013-W34	Bundesweit	0	5-14	628
2012/13	2013-W34	Bundesweit	0	15-34	577
2012/13	2013-W34	Bundesweit	0	60+	199
2012/13	2013-W34	Bundesweit	0	35-59	356
2012/13	2013-W35	Bundesweit	0	00+	497
2012/13	2013-W35	Bundesweit	0	0-4	1813
2012/13	2013-W35	Bundesweit	0	5-14	772
2012/13	2013-W35	Bundesweit	0	15-34	707
2012/13	2013-W35	Bundesweit	0	60+	203
2012/13	2013-W35	Bundesweit	0	35-59	363
2012/13	2013-W36	Bundesweit	0	00+	548
2012/13	2013-W36	Bundesweit	0	0-4	2323
2012/13	2013-W36	Bundesweit	0	5-14	862
2012/13	2013-W36	Bundesweit	0	15-34	781
2012/13	2013-W36	Bundesweit	0	60+	184
2012/13	2013-W36	Bundesweit	0	35-59	388
2012/13	2013-W37	Bundesweit	0	00+	629
2012/13	2013-W37	Bundesweit	0	0-4	2601
2012/13	2013-W37	Bundesweit	0	5-14	951
2012/13	2013-W37	Bundesweit	0	15-34	852
2012/13	2013-W37	Bundesweit	0	60+	217
2012/13	2013-W37	Bundesweit	0	35-59	486
2012/13	2013-W38	Bundesweit	0	00+	876
2012/13	2013-W38	Bundesweit	0	0-4	3857
2012/13	2013-W38	Bundesweit	0	5-14	1381
2012/13	2013-W38	Bundesweit	0	15-34	1193
2012/13	2013-W38	Bundesweit	0	60+	276
2012/13	2013-W38	Bundesweit	0	35-59	651
2012/13	2013-W39	Bundesweit	0	00+	1019
2012/13	2013-W39	Bundesweit	0	0-4	4138
2012/13	2013-W39	Bundesweit	0	5-14	1540
2012/13	2013-W39	Bundesweit	0	15-34	1416
2012/13	2013-W39	Bundesweit	0	60+	303
2012/13	2013-W39	Bundesweit	0	35-59	809
2013/14	2013-W40	Bundesweit	0	00+	884
2013/14	2013-W40	Bundesweit	0	0-4	3942
2013/14	2013-W40	Bundesweit	0	5-14	1307
2013/14	2013-W40	Bundesweit	0	15-34	1091
2013/14	2013-W40	Bundesweit	0	60+	331
2013/14	2013-W40	Bundesweit	0	35-59	708
2013/14	2013-W41	Bundesweit	0	00+	1154
2013/14	2013-W41	Bundesweit	0	0-4	4192
2013/14	2013-W41	Bundesweit	0	5-14	1293
2013/14	2013-W41	Bundesweit	0	15-34	1502
2013/14	2013-W41	Bundesweit	0	60+	481
2013/14	2013-W41	Bundesweit	0	35-59	1048
2013/14	2013-W42	Bundesweit	0	00+	1130
2013/14	2013-W42	Bundesweit	0	0-4	4210
2013/14	2013-W42	Bundesweit	0	5-14	1251
2013/14	2013-W42	Bundesweit	0	15-34	1360
2013/14	2013-W42	Bundesweit	0	60+	524
2013/14	2013-W42	Bundesweit	0	35-59	1049
2013/14	2013-W43	Bundesweit	0	00+	1058
2013/14	2013-W43	Bundesweit	0	0-4	4488
2013/14	2013-W43	Bundesweit	0	5-14	1288
2013/14	2013-W43	Bundesweit	0	15-34	1201
2013/14	2013-W43	Bundesweit	0	60+	450
2013/14	2013-W43	Bundesweit	0	35-59	967
2013/14	2013-W44	Bundesweit	0	00+	804
2013/14	2013-W44	Bundesweit	0	0-4	3600
2013/14	2013-W44	Bundesweit	0	5-14	995
2013/14	2013-W44	Bundesweit	0	15-34	872
2013/14	2013-W44	Bundesweit	0	60+	379
2013/14	2013-W44	Bundesweit	0	35-59	709
2013/14	2013-W45	Bundesweit	0	00+	1015
2013/14	2013-W45	Bundesweit	0	0-4	4254
2013/14	2013-W45	Bundesweit	0	5-14	1427
2013/14	2013-W45	Bundesweit	0	15-34	1168
2013/14	2013-W45	Bundesweit	0	60+	430
2013/14	2013-W45	Bundesweit	0	35-59	880
2013/14	2013-W46	Bundesweit	0	00+	1015
2013/14	2013-W46	Bundesweit	0	0-4	4175
2013/14	2013-W46	Bundesweit	0	5-14	1532
2013/14	2013-W46	Bundesweit	0	15-34	1188
2013/14	2013-W46	Bundesweit	0	60+	396
2013/14	2013-W46	Bundesweit	0	35-59	873
2013/14	2013-W47	Bundesweit	0	00+	1058
2013/14	2013-W47	Bundesweit	0	0-4	4361
2013/14	2013-W47	Bundesweit	0	5-14	1676
2013/14	2013-W47	Bundesweit	0	15-34	1285
2013/14	2013-W47	Bundesweit	0	60+	388
2013/14	2013-W47	Bundesweit	0	35-59	879
2013/14	2013-W48	Bundesweit	0	00+	1067
2013/14	2013-W48	Bundesweit	0	0-4	4360
2013/14	2013-W48	Bundesweit	0	5-14	1679
2013/14	2013-W48	Bundesweit	0	15-34	1255
2013/14	2013-W48	Bundesweit	0	60+	376
2013/14	2013-W48	Bundesweit	0	35-59	932
2013/14	2013-W49	Bundesweit	0	00+	1113
2013/14	2013-W49	Bundesweit	0	0-4	4214
2013/14	2013-W49	Bundesweit	0	5-14	1596
2013/14	2013-W49	Bundesweit	0	15-34	1426
2013/14	2013-W49	Bundesweit	0	60+	413
2013/14	2013-W49	Bundesweit	0	35-59	958
2013/14	2013-W50	Bundesweit	0	00+	1100
2013/14	2013-W50	Bundesweit	0	0-4	4336
2013/14	2013-W50	Bundesweit	0	5-14	1655
2013/14	2013-W50	Bundesweit	0	15-34	1260
2013/14	2013-W50	Bundesweit	0	60+	447
2013/14	2013-W50	Bundesweit	0	35-59	977
2013/14	2013-W51	Bundesweit	0	00+	1061
2013/14	2013-W51	Bundesweit	0	0-4	4517
2013/14	2013-W51	Bundesweit	0	5-14	1531
2013/14	2013-W51	Bundesweit	0	15-34	1200
2013/14	2013-W51	Bundesweit	0	60+	452
2013/14	2013-W51	Bundesweit	0	35-59	912
2013/14	2013-W52	Bundesweit	0	00+	378
2013/14	2013-W52	Bundesweit	0	0-4	1984
2013/14	2013-W52	Bundesweit	0	5-14	582
2013/14	2013-W52	Bundesweit	0	15-34	345
2013/14	2013-W52	Bundesweit	0	60+	187
2013/14	2013-W52	Bundesweit	0	35-59	307
2013/14	2014-W01	Bundesweit	0	00+	654
2013/14	2014-W01	Bundesweit	0	0-4	2540
2013/14	2014-W01	Bundesweit	0	5-14	696
2013/14	2014-W01	Bundesweit	0	15-34	666
2013/14	2014-W01	Bundesweit	0	60+	408
2013/14	2014-W01	Bundesweit	0	35-59	602
2013/14	2014-W02	Bundesweit	0	00+	1047
2013/14	2014-W02	Bundesweit	0	0-4	3142
2013/14	2014-W02	Bundesweit	0	5-14	1297
2013/14	2014-W02	Bundesweit	0	15-34	1246
2013/14	2014-W02	Bundesweit	0	60+	569
2013/14	2014-W02	Bundesweit	0	35-59	974
2013/14	2014-W03	Bundesweit	0	00+	998
2013/14	2014-W03	Bundesweit	0	0-4	3464
2013/14	2014-W03	Bundesweit	0	5-14	1381
2013/14	2014-W03	Bundesweit	0	15-34	1161
2013/14	2014-W03	Bundesweit	0	60+	459
2013/14	2014-W03	Bundesweit	0	35-59	918
2013/14	2014-W04	Bundesweit	0	00+	1094
2013/14	2014-W04	Bundesweit	0	0-4	4966
2013/14	2014-W04	Bundesweit	0	5-14	1733
2013/14	2014-W04	Bundesweit	0	15-34	1183
2013/14	2014-W04	Bundesweit	0	60+	427
2013/14	2014-W04	Bundesweit	0	35-59	930
2013/14	2014-W05	Bundesweit	0	00+	1192
2013/14	2014-W05	Bundesweit	0	0-4	5323
2013/14	2014-W05	Bundesweit	0	5-14	2043
2013/14	2014-W05	Bundesweit	0	15-34	1305
2013/14	2014-W05	Bundesweit	0	60+	401
2013/14	2014-W05	Bundesweit	0	35-59	1023
2013/14	2014-W06	Bundesweit	0	00+	1292
2013/14	2014-W06	Bundesweit	0	0-4	5790
2013/14	2014-W06	Bundesweit	0	5-14	2060
2013/14	2014-W06	Bundesweit	0	15-34	1441
2013/14	2014-W06	Bundesweit	0	60+	473
2013/14	2014-W06	Bundesweit	0	35-59	1100
2013/14	2014-W07	Bundesweit	0	00+	1365
2013/14	2014-W07	Bundesweit	0	0-4	5648
2013/14	2014-W07	Bundesweit	0	5-14	2080
2013/14	2014-W07	Bundesweit	0	15-34	1531
2013/14	2014-W07	Bundesweit	0	60+	539
2013/14	2014-W07	Bundesweit	0	35-59	1206
2013/14	2014-W08	Bundesweit	0	00+	1310
2013/14	2014-W08	Bundesweit	0	0-4	5637
